Group,File,100027 (kg),100414 (kg),100425 (kg),100447 (kg),101688 (kg),101779 (kg),106423 (kg),106445 (kg),106467 (kg),106887 (kg),106898 (kg),106934 (kg),106990 (kg),107028 (kg),107051 (kg),107062 (kg),107131 (kg),107211 (kg),108054 (kg),108101 (kg),108316 (kg),108383 (kg),108394 (kg),108883 (kg),108907 (kg),108952 (kg),109864 (kg),110543 (kg),110805 (kg),111159 (kg),111422 (kg),111773 (kg),111900 (kg),112072 (kg),112276 (kg),112345 (kg),117817 (kg),118741 (kg),120127 (kg),120821 (kg),121142 (kg),121448 (kg),121697 (kg),122996 (kg),123319 (kg),123386 (kg),123911 (kg),124174 (kg),126998 (kg),127184 (kg),129000 (kg),130498292 (kg),131113 (kg),1319773 (kg),132649 (kg),1330207 (kg),133062 (kg),1332214 (kg),1336363 (kg),140885 (kg),156627 (kg),1582098 (kg),16065831 (kg),1634044 (kg),171 (kg),18540299 (kg),191242 (kg),192972 (kg),193395 (kg),198550 (kg),203123 (kg),203338 (kg),2050682 (kg),2051243 (kg),2051607 (kg),205823 (kg),205992 (kg),206440 (kg),207089 (kg),208968 (kg),218019 (kg),250 (kg),25429292 (kg),26601649 (kg),26914330 (kg),2807309 (kg),28655712 (kg),302012 (kg),3697243 (kg),463581 (kg),50000 (kg),50328 (kg),51285 (kg),532274 (kg),53703 (kg),540841 (kg),540885 (kg),542756 (kg),56235 (kg),56495 (kg),56553 (kg),56832736 (kg),57125 (kg),57976 (kg),584849 (kg),58899 (kg),60344 (kg),60355 (kg),62533 (kg),63252 (kg),67561 (kg),67663 (kg),68122 (kg),7012375 (kg),71432 (kg),71556 (kg),7439921 (kg),7439965 (kg),7439976 (kg),7440020 (kg),7440360 (kg),7440382 (kg),7440417 (kg),7440439 (kg),7440484 (kg),74839 (kg),74873 (kg),74884 (kg),74908 (kg),75003 (kg),75014 (kg),75058 (kg),75070 (kg),75092 (kg),75150 (kg),75218 (kg),75252 (kg),75343 (kg),75354 (kg),75445 (kg),7550450 (kg),75569 (kg),7647010 (kg),7664393 (kg),7723140 (kg),77474 (kg),77781 (kg),7782492 (kg),7782505 (kg),7783064 (kg),7803512 (kg),78591 (kg),78875 (kg),79005 (kg),79016 (kg),79061 (kg),79107 (kg),79345 (kg),79469 (kg),80626 (kg),822060 (kg),82688 (kg),83329 (kg),84742 (kg),85018 (kg),85449 (kg),86737 (kg),86748 (kg),87683 (kg),87865 (kg),88062 (kg),91203 (kg),91225 (kg),91576 (kg),91587 (kg),92524 (kg),94757 (kg),95476 (kg),95487 (kg),95534 (kg),96093 (kg),98828 (kg),98862 (kg),98953 (kg),CO (kg),PM-CON (kg),PM10 (kg),PM10-FIL (kg),PM10-PRI (kg),PM25-FIL (kg)
nonpt,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonpt/nonpt_2011NEIv2_NONPOINT_20141108_21jan2015_v5.csv,12393.564215367474,6.526068409846181e+06,4.409995171689023e+06,1197.7154357778304,4362.212349098043,0,3.0888283847033833e+06,7650.943509244592,1.6066845420952542e+06,1943.3455987736195,27.22515451044845,1100.5099818836532,39231.98797423922,532919.0054448752,116.94604605640444,47976.84582847464,18509.053230883383,6.090863577152811e+07,13802.808098731375,2.309131773078817e+07,497.2080900211768,7.612795742489705e+06,0,1.4605209381793872e+08,647852.5155023844,1.245128427981591e+06,190.01749500811812,1.3734338498350877e+08,21434.141285969028,16283.11446950897,10178.032598509948,141572.88191672825,233245.83523038946,923653.2046086555,1519.5594958285333,775161.9422653123,56500.6600812609,100.75845343354942,13912.395488515054,961.391234408192,290.39685533462335,264489.85922423267,1941.4202604298791,17306.727600410417,158.93135274563565,221201.91753590872,115028.57749150398,17151.629516117177,143.4267161425835,9.615459395590104e+06,33803.62773050732,1743.563370773982,97582.23756095312,1375.7264212570942,28536.665205312245,1.9544764162431315e+07,6.884105308813489,0,12862.591370339074,26275.682373146028,0,2.196133176262559e+06,13686.723709188467,178053.78919138265,2.474097347818591e+06,4919.189718198016,9577.257305908166,0.13756716192235718,8977.062570784788,0.02727167161925317,0.00790812563199729,,0.0004536343540685969,0.0018855259122205145,0.004372151146732909,0.1361186737181744,11831.281323886018,27288.6064795993,4620.983017151014,67464.8734257716,11445.317347140726,1841.101335085949,0.023848181703273002,0.003840891366683758,0.04968302335000237,846534.0485078255,0.00046090643822302625,0,0.029071127904897923,268.9199214001451,2.385736345497559e+06,10501.868140460943,3.654162168317004,10.41729449471822,1469.4325339144445,2.4447501686256086e+06,1.5438814676067362e+07,2.7410614937504134e+06,7731.6035896238955,0.13974912156832622,11751.617589169598,3.0926038355602588,153602.23311753,1.2423534352605583,130.4571386624579,276.81410080620464,230.97859080927051,0.741321589992163,0,17583.608865955404,1.4166861629683506e+08,228065.68243469938,15561.713239100029,0.035107629203103626,8.915754510880034e+06,2.035678147466397e+07,14408.267688025953,47091.799917462755,6168.906976589738,34379.14696487335,751.8224005383172,7143.108186686174,2777.728094914476,4365.936587960867,677.0482921447827,5.245982780783242e+06,46415.308150267214,0.19497287478276598,3.0016159862824315e+06,29114.268834422182,16671.47887016537,2115.102250999267,2.772394658287766e+06,5.363246065252321e+06,26490.03482230349,82957.68195237766,57.90225085294643,14267.783213792452,2723.7411158726004,0,0,5418.832540148592,4.331443114281154e+06,211855.8676290353,24025.675178768855,3.4944197066713816,79.19616990156601,15653.902607863647,245004.07420450848,9582.268576410444,0,28939.696501717488,923.0199246669324,7.211018724412374,1.6158938014263983e+06,1.1793405,5232.586833734373,1681.9364908098823,60.67921956025797,85150.00722615213,353.48362713205125,2039.0595877145531,4594.588951412017,23167.504916341077,61792.000564895556,1049.4501623826495,22462.06958611172,12.57018154244863,4.414642551221494,239.37603871525005,0.4496779116174392,863502.3242043505,0,1710.291369956537,0.0487084143059376,8229.126554773848,1.2711028511004051e+07,3.2443140897114323e+06,4272.20660850854,10.534180123422674,802.1148060844499,221911.89741017524,8041.361997191333,39.54720788271257,1.505530333092464e+09,7.752600135735399e+07,,3.737340788596183e+08,4.497408940179494e+08,2.9378663073338366e+08
nonpt,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonpt/pfc_2011NEIv2_NONPOINT_20141108_11nov2014_v0.csv,,1.423559632793035e+06,,,,,7881.879801980895,,,,,,,,,,,,,,,24072.74943490466,,6.530921837504185e+06,,,,3.067917078045845e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.377350794516668e+06,,,,,,,,0,,,,,,,,,,,,,,,,,,250.020186,,,,,,,,,,,,,,2.6829529246875905e+06,,,,,,,,,,,,,,,,,,,713575.847634872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,616.1061036327226,,,,,,9400.649811163692,,,,632.4468803827496,,,0,0,,0,0,0
nonpt,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/nonpt/refueling_2011NEIv2_NONPOINT_20141108_11nov2014_v0.csv,,226993.94864621517,,,,,2364.7893487605,,,,,,,,,,,,,,,6459.980288950501,,5.348672263688837e+06,,,,6.789234800216615e+06,,,,,,,,,,,,,,,,,,,,,,,,108.86219999999999,,,,2.1335957874821136e+06,,,,,,,,193561.72166712585,,,,,,,,,,,,,,,,,,363.3275925,,,,,,,,,,,,,,2.8873069378399905e+06,,,,,,,,,,,,,,,,,,,2.896142891609286e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5561.56867288622,,,,,,2779.8799920318006,,,,45849.45675796789,,,0,0,,0,0,0
np_oilgas,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/np_oilgas/np_oilgas_2011NEIv2_NONPOINT_20141108_11nov2014_v0.csv,,1.8722444955372754e+06,6208.956329953983,,,,1262.3690771121383,,,,,6617.46275478412,165059.01743876797,826131.4138752723,,,,,,,,7700.454635755628,,1.4437100465317834e+07,4165.908845716138,1065.4555306060672,,5.419307596397431e+06,,,,,,,,,,,,,,,,,,42321.75204557303,,,,,,,,,,2.7197572429364495e+07,,,,,,,,,,,,,,,,,,,,,,,,,,31987.74022873026,,,,,,,,,8.449563353896154e+06,,,,,203518.62412524415,,3945.021363926307,5494.010588026754,,,,,,,,,,,,780337.7157257334,4256.586559489765,,,2.167160762286618e+07,,80.40132553910327,109.85226830150421,82.38920233119507,52.17982319855818,98.86702639043283,13.731534182610591,,109.85226830150425,30.20936829126989,,,,,82.83182951156957,2229.20906231915,,1.3162814791618888e+06,9890.592339464361,,,,3515.0285053145417,,,,,,,348.78092505023375,,,27.463063044537602,944.729505438107,1.0675793043654935e+07,,,4032.7223253876236,4797.178270308809,,,,7300.031247306225,,,,,,,,,,,,,,29135.411794194395,,,,9390.780056293313,,4292.056075786148,,,,854.0091885667231,,,5.709666925418112e+08,4.521195194197371e+06,,6.935895519815969e+06,1.5311550531431638e+07,5.617205069559902e+06
othafdust,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/othafdust/afdust_canada_2010_FF10_20130606_05aug2014_v0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.460166514027182e+09,,,
afdust,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/afdust/EPA_2011_afdust_no_precipadj_paved_unpaved_noNEIv2RPOstates_23sep2014_v0.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0325057729125214e+10,,,
afdust,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/afdust/afdust_2011NEIv2_NONPOINT_20141108_11nov2014_v1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,6.054319232031996e+09,6.662207617705401e+09,1.0460279817035776e+09
ag,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/ag/ag_2011NEIv2_NONPOINT_20141108_04feb2015_v3.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agfire,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/agfire/agburn_monthly_2011NEIv2_NONPOINT_20141108_11nov2014_v0.csv,,3931.7447120171278,6511.002682674629,,,,,,,,,,3.0147354517599973e+06,971029.7675559637,,,,,,,,,,4.1055946394762755e+06,,5533.319234009194,,4898.849089542668,,,,,,,,,,,34044.64394258397,,,,,,,6936.498756867714,,,,,61129.41911869578,302.74142548102185,,,322.4939940833546,1426.1102290688616,,,,,,,23.05185661327365,,,11.875202886723347,26182.706938808264,17485.363114457687,17465.55505838365,8732.776053569989,,,,,,,,69862.202754342,17465.55505838239,,34931.0916068413,,,,,,,,,,2.9437116689323623e+07,8755.34045791034,,,,,,,,,34931.09160684121,,,,,,,,,,77991.60163497472,,,,6.228026168624277e+06,,408.64600994908034,778.1895612037818,20.30254618840869,14.055603171215163,149.95915156398289,13.062765929216992,,93.00120237292347,4.685202995727241,116.97715897308498,9827.614120073928,38.97730376893595,,,,7019.403403475337,1.2631395390343882e+07,,,,,,,,,,,,1083.704285739133,,,15.762302340080138,318336.3857126923,,,,,,,,,,,,,,,,85581.65009312234,,,,,,,,,,,,,,,,,680.7223790773123,,,8.760339287044235e+08,0,,4.791563771438903e+07,1.2940184920971477e+08,3.611622281980665e+07
c1c2rail,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/c1c2rail/c1c2rail_2011NEIv2_NONPOINT_20141108_11nov2014_v1.csv,,87481.07766797823,83439.16250869518,,,,4367.106504266094,,,,,,114733.04635250963,134848.15724028976,,,,,,,,26639.34991869617,,170843.46449504205,,,,218622.13202424705,,,,,,,,,,0.3027121104775718,2456.129589344795,,,,,,,267593.72699827736,,,,,2567.9440540679216,277.69074229339134,,,,186371.09924504836,,,3.7838959414615276,,,,350.9734731816856,,,178.36559479358485,118.27280298213759,,135.11628492602065,,,2.129467754896547,,,,,218.34578096487348,1787.9431795562448,153.58100935347105,9745.688452361033,303.43809507241707,,,,,,,,,,2.5897598015676546e+06,99.31769155694401,,,0,87840.21846281737,,,,,577.5382932895772,,,,,,,,,,1310.1321315414834,,,,243916.7555732701,,3009.218775282775,105.5935988573469,653.9898545259927,7689.359889940249,174.12902659649896,243.28911072901698,624.6716089311055,746.3441799775267,10.426430743673023,,,,,,,,1.198667573919026e+06,,,,,,,,,,,,4057.0147352454724,,,9.016904210561728,296.86112999743557,,,,,,,,,,,,,,814.6247931040182,,12964.837868405131,,3408.8617954058536,,,,,71438.624343243,,,,,,14848.162850265186,,,,873.4212876912874,,,1.6789671843073714e+08,0,,405441.32624730497,3.2729875953885667e+07,376895.68065363937
c1c2rail,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/c1c2rail/c1c2_offshore_2011NEIv2_NONPOINT_20141108_11nov2014_v0.csv,,8473.325533681498,8896.994445737999,,,,,,,,,,,14828.340707955,,,,,,,,,,13557.291787682998,,,,23301.64365273,,,,,,,,,,0.39173162742479994,219.67599080309998,,,,,,,25843.634989755,,,,,231.5495546697,,,,,20335.983312929995,,,4.896639264670499,,,,323.1786506853,,,166.4853574284,53.434574514015,,97.93274900600998,,,,,,,,97.93274900600998,130.61807208034497,48.966392646704996,219.67599080309998,41.56021504616999,,,,,,,,,,633804.26501085,48.966392646704996,,,,1694.6687536199997,,,,,237.48719842874996,,,,,,,,,,,,,,86190.65438961,,1468.9929678135002,12.486447710690998,0.48966392646705,9793.274900601,,293.79852098789996,,50.43544358364,,,,,,,,,314775.6863295,,,,,,,,,,,,,,,0.5043544358363999,,,,,,,,,,,,,,,142.49244606315,,332.48186007584997,,290.92181013735,,,,,8317.987429665001,,,,,,,,,,,,,6.023227864105499e+07,,,,9.793274900601001e+06,
c3marine,/home/mkelp/nei2011Dir/2011eh_cb05_v6_11g/inputs/c3marine/c3marine_2011NEIv2_NONPOINT_20141108_14nov2014_v1.csv,,835.9648540012499,161.79975597525,,,,269.6662025037,,,,,,512.3660224395001,,,,,,,,,1644.9637971707998,,3964.10012221275,,,,431.46595847895,,,,,,,,,,0.0972079855163044,4.7360104792479945,,,,,,,2615.7673860427503,,,,,4.98859843282887,,,,,,,,1.2151088345983172,,,,2132.935105259425,,,1098.784127515334,1.1546849634126684,,24.302890611352968,,,,,,,,24.30289061135297,2.8145444097530725,12.151088345983167,4.736010479247992,0.8850694451006281,,,,,,,,,,8299.506528067968,12.151088345983183,,,,808.9987889481001,,,,,5.11489418048028,,,,,,,,,,80.89987889481,,,,51.8058475162933,,364.94927317843405,577.699873160221,7.891028256066594,87722.5133466897,,2414.2958657031995,5.477936943669437,173.71380441376633,1933.8545884362063,,,,,,,,1210.5652356953788,,,,,,,,,,,,50842.346562158746,,,52.08970004240283,,,,,,,,,,,,,,,3.0671322049409953,,7.162653497464991,,6.269576635063738,,,,,422.21379447599577,,,,,,916.8650449677,,,,53.93322235704001,,,1.2432625939536389e+07,0,,233.20555738425,1.0314906796069052e+07,233.20555738425
