SCC: ,SCC Descriptions: ,NH3 (kg) Emissions,NOX (kg) Emissions,PM25-PRI (kg) Emissions,SO2 (kg) Emissions,VOC (kg) Emissions,Deaths from NH3 to TotalPop,Deaths from NH3 to WhiteNoLat,Deaths from NH3 to Black,Deaths from NH3 to Native,Deaths from NH3 to Asian,Deaths from NH3 to Other,Deaths from NH3 to Latino,Deaths from NH3 to Poverty,Deaths from NH3 to TwoXPov
2310021509,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives: All Processes""",,25.4918985,0,0,289657.094457,0,0,0,0,0,0,0,0,0
2310021202,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines 50 To 499 HP""",,18879364.8427962,226526.293151195,13060.2049572151,2378732.72811506,0,0,0,0,0,0,0,0,0
2310010300,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum; Oil well pneumatic devices""",,,,,187272225.896748,0,0,0,0,0,0,0,0,0
2310022506,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Fugitives; Other: Gas""",,0,0,0,37.1653192119,0,0,0,0,0,0,0,0,0
2310030300,"""Industrial Processes;Oil and Gas Exploration and Production;Natural Gas Liquids;Gas Well Water Tank Losses""",,,,,977.3104005,0,0,0,0,0,0,0,0,0
2310012526,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Other: Oil/Water""",,0,0,0,68.6013297,0,0,0,0,0,0,0,0,0
2310010800,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum; Oil well truck loading""",,0,0,0,1453800.2499,0,0,0,0,0,0,0,0,0
2801700014,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Monoammonium Phosphate""",15061974.9872066,,,,,78.0619906583,57.162236812,9.6045696535,0.3026965017,2.6763799636,1.4961018679,6.8200058992,10.6079185964,52.0819729933
2801700013,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Diammonium Phosphate""",22937395.3876337,,,,,181.1372853462,131.0956533875,25.2699946768,0.5468730604,5.7399044926,3.4260224035,15.0588374517,25.7593968703,118.7384481765
2310021100,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well heaters""",,35684853.379371,2691295.5504914,18616.3925124335,1934781.20229584,0,0,0,0,0,0,0,0,0
2310021351,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Lateral Compressors 4 Cycle Rich Burn""",,53399239.1102799,824615.062749563,24389.9684730773,906172.045153714,0,0,0,0,0,0,0,0,0
2310023100,"""Industrial Processes; Oil and Gas Production; CBM; Dehydrators""",,1941308.28414536,147539.348793168,0.0180616829,106771.908869412,0,0,0,0,0,0,0,0,0
2805002000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle production composite;Not Elsewhere Classified""",322839434.098788,,,,,1643.1025129023,1183.7486094502,214.8604496829,8.0754198161,48.0806339708,32.515294763,155.8221061491,235.5493208315,1064.935113674
2805047100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Swine production - deep-pit house operations (unspecified animal age);Confinement""",107627127.066133,,,,,761.0454763967,548.7089314802,98.6155515325,2.3597936595,27.6422962631,14.465659598,69.2532444128,103.1180338479,509.9755434948
2801700007,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Ammonium Thiosulfate""",1049558.90497221,,,,,4.6849392995,3.4470224085,0.5656634268,0.0206026979,0.147188376,0.0913779585,0.4130844343,0.6514116431,3.0859176427
2801700003,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Nitrogen Solutions""",264298475.122715,,,,,1822.1411935322,1295.7172510282,259.820266254,6.3710241807,59.1356758567,35.2652033432,165.831773897,259.0502074943,1194.4374836219
2801700010,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;N-P-K (multi-grade nutrient fertilizers)""",23614856.6883061,,,,,165.7973061705,110.3135667207,26.5842672862,0.611808327,5.4000348621,3.1555361223,19.7320928349,24.4917977934,106.5798337751
2805009100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - broilers;Confinement""",153985591.949378,,,,,973.9528439128,649.533559348,204.8787684179,5.3959890871,21.5646968741,17.7698322602,74.8099978099,162.370531668,588.9258390251
2805023200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - drylot/pasture dairy;Manure handling and storage""",580248.437528839,,,,,3.8866828217,2.7378137282,0.5943325004,0.0133033991,0.1352183174,0.07474592,0.3312689593,0.5464620248,2.5640935077
2805001200,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Manure handling and storage""",14051.945076848,,,,,0.068281614,0.049083548,0.0084721716,0.0003155467,0.0021817276,0.0013403501,0.0068882702,0.0095019102,0.0449158156
2310121700,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Completion: All Processes""",,941041.45518574,30328.101735,1490445.18922222,11929386.2220687,0,0,0,0,0,0,0,0,0
2310021102,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 2Cycle Lean Burn Compressor Engines 50 To 499 HP""",,7506453.30876974,200436.869819348,3226.0661949415,1141303.16373751,0,0,0,0,0,0,0,0,0
2310002000,"""Industrial Processes;Oil and Gas Production: SIC 13;All Processes : Off-shore;Total: All Processes""",,0,0,0,141.6694296875,0,0,0,0,0,0,0,0,0
2310023606,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Mud Degassing""",,,,,13755.283281,0,0,0,0,0,0,0,0,0
2310023102,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;CBM Fired 2Cycle Lean Burn Compressor Engines 50 To 499 HP""",,4225.5951552,105.22620252,1.2807456393,220.8632601,0,0,0,0,0,0,0,0,0
2310012020,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Storage Tanks: Crude Oil""",,0,0,0,999.7266696945,0,0,0,0,0,0,0,0,0
2801700001,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Anhydrous Ammonia""",203269490.18377,,,,,1242.762796851,826.3175552362,142.9702305254,4.4002618642,56.987715078,26.3004960053,185.786538908,176.9933666786,812.0071291103
2805053100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Swine production - outdoor operations (unspecified animal age);Confinement""",998708.041877953,,,,,6.6281075479,4.7536453668,0.8719284676,0.0256718829,0.2174804589,0.1289997031,0.6303816732,0.9253902348,4.3644958511
2310021503,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Fugitives: Open Ended Lines""",,0,0,0,5024157.17816084,0,0,0,0,0,0,0,0,0
2310021603,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Venting - Blowdowns""",,51129.6880804023,18.1437,2081448.98039221,65756332.0897049,0,0,0,0,0,0,0,0,0
2310000330,"""Industrial Processes;Oil and Gas Production: SIC 13; Artificial lift""",,70266033.4468517,729361.495665365,25198.2215441361,2188867.24286658,0,0,0,0,0,0,0,0,0
2310021201,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines <50 HP""",,22928.0802011565,17.049043522,2.3414446916,572.8608352051,0,0,0,0,0,0,0,0,0
2310020000,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas;Total: All Processes""",,1397011.05131277,5337.3124342233,1447.494951276,2170323.165558,0,0,0,0,0,0,0,0,0
2310022010,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Storage Tanks: Condensate""",,0,0,0,142.0552736117,0,0,0,0,0,0,0,0,0
2310012515,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Valves: Oil""",,0,0,0,0.3293969956,0,0,0,0,0,0,0,0,0
2805040000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Sheep and Lambs Waste Emissions;Total""",18783899.8094007,,,,,88.6693573117,59.2344409359,10.5673732167,0.5031771584,3.7382712666,1.9275581624,12.6985366093,12.5076256001,57.9794115416
2310121401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Pneumatic Pumps""",,112308.595815,,,99445692.1864221,0,0,0,0,0,0,0,0,0
2310021251,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Lateral Compressors 4 Cycle Lean Burn""",,9505266.75507787,112031.284264642,6585.1980505314,1111722.9892808,0,0,0,0,0,0,0,0,0
2310023512,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives: Flanges""",,,,,179067.989445953,0,0,0,0,0,0,0,0,0
2805007300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - layers with dry manure management systems;Land application of manure""",2403078.3607426,,,,,22.4887748659,15.6371614125,3.406514269,0.063290476,0.8168237944,0.4376326911,2.1273522299,3.1295848539,14.9234771011
2805009300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - broilers;Land application of manure""",123560920.043081,,,,,786.4948007596,526.575655966,166.7602494214,4.3682312784,16.8080655544,14.2671385678,57.7154598771,131.2250723857,475.4169971589
2310021401,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Nat Gas Fired 4Cycle Rich Burn Compressor Engines <50 HP w/NSCR""",,0,0,0,0,0,0,0,0,0,0,0,0,0
2310020800,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well truck loading""",,0,0,0,1710830.08574931,0,0,0,0,0,0,0,0,0
2805030007,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry Waste Emissions;Ducks""",2904366.8923007,,,,,34.1248490502,23.5239306262,5.1990964582,0.0747869668,1.4076453437,0.6654872234,3.2539024578,4.6773265981,23.0523525707
2805023100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - drylot/pasture dairy;Confinement""",29408642.4368561,,,,,190.9507403428,135.2477177546,26.102770826,0.7132741829,7.1835233113,3.7590218272,17.9444325699,25.794209465,128.0950477956
2310023603,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Venting - Blowdowns""",,0,0,0,6686025.3695947,0,0,0,0,0,0,0,0,0
2310023601,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Venting - Initial Completions""",,0,0,0,8504216.78864895,0,0,0,0,0,0,0,0,0
2805008300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - layers with wet manure management systems;Land application of manure""",2225710.19576624,,,,,14.4389485038,9.4813198177,2.9188138205,0.072323852,0.3400201653,0.2672997099,1.3591711245,2.3760116386,8.7694774986
2805010100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - turkeys;Confinement""",47345146.464217,,,,,291.0174062848,207.199671815,46.9004119193,1.3530774057,8.5139926284,5.8081064163,21.2421463207,41.7347482423,189.3565092337
2801700011,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Calcium Ammonium Nitrate""",196347.175473543,,,,,0.3763470081,0.2640863604,0.0397973396,0.0047552004,0.01029989,0.0080102738,0.0493979439,0.0577444104,0.2366632117
2805010300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - turkeys;Land application of manure""",40472180.3816525,,,,,241.1692514159,170.7288314806,39.449051548,1.1785508711,7.1025048238,4.8302614379,17.8800514267,34.6244766976,156.8663629537
2801700009,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Ammonium Phosphates (see also subsets (-13""",50437.620283329,,,,,0.0584603304,0.0450698304,0.0037067855,0.0009349593,0.0018511659,0.0014963858,0.0054012035,0.0082217179,0.0381494063
2310023515,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives:  Valves""",,,,,3164305.42866605,0,0,0,0,0,0,0,0,0
2310022420,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Dehydrator""",,0,0,0,602.2097058003,0,0,0,0,0,0,0,0,0
2805021100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Confinement""",31214368.4855183,,,,,217.7973064387,154.8708294734,28.8874611488,0.7687749784,8.4727049689,4.3052072932,20.4923287267,28.8940681136,147.2820498834
2310022090,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Production;Boilers/Heaters: Natural Gas""",,713.7151163037,13.5003028796,4.2609713967,39.065263973,0,0,0,0,0,0,0,0,0
2310021103,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 2Cycle Lean Burn Compressor Engines 500+ HP""",,10010.2752912846,887.930099762,12.7836834243,4825.1731561882,0,0,0,0,0,0,0,0,0
2310002305,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Flares: Flaring Operations""",,259299.912308083,0.6894606,0.0433160725,9837.2756451077,0,0,0,0,0,0,0,0,0
2310112401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Exploration;Oil Well Pneumatic Pumps""",,0,0,0,171.2194660635,0,0,0,0,0,0,0,0,0
2310000550,"""Industrial Processes;Oil and Gas Exploration and Production;All Processes;Produced Water""",,0,0,0,40853427.7755599,0,0,0,0,0,0,0,0,0
2310010700,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum; Oil well fugitives""",,,,,20024422.8716775,0,0,0,0,0,0,0,0,0
2310021403,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Nat Gas Fired 4Cycle Rich Burn Compressor Engines 500+ HP w/NSCR""",,15623821.2485344,105754.990134428,6534.525421097,327927.864384196,0,0,0,0,0,0,0,0,0
2310021203,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Lean Burn Compressor Engines 500+ HP""",,2508737.4098366,21517.5396664787,4388.2690641407,1065508.11399691,0,0,0,0,0,0,0,0,0
2310012000,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum : Off-shore;Total: All Processes""",,122518.35517605,1042.1259564765,38.0047737798,4541.2894570605,0,0,0,0,0,0,0,0,0
2310011000,"""Industrial Processes;Oil and Gas Production: SIC 13;Crude Petroleum : On-shore;Total: All Processes""",,921315.163831871,,7440871.14633641,66391222.2236596,0,0,0,0,0,0,0,0,0
2310011501,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Fugitives: Connectors""",,0,0,0,12111608.6156753,0,0,0,0,0,0,0,0,0
2310021302,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines 50 To 499 HP""",,163969609.29187,1369774.45166623,46911.9690847538,2544818.6754244,0,0,0,0,0,0,0,0,0
2310122100,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Gas Exploration;Mud Degassing""",,0,0,0,25.2736842201,0,0,0,0,0,0,0,0,0
2310022000,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas : Off-shore;Total: All Processes""",,69818.90623338,285.1148100902,127.3034022489,1701.7237771436,0,0,0,0,0,0,0,0,0
2805001300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Beef cattle -  finishing operations on feedlots (drylots);Land application of manure""",134931270.848035,,,,,584.2859596754,289.185438324,43.7689952826,2.9211881603,45.6459021149,14.8942885923,187.8701472911,89.3169099845,366.7763501463
2801700008,"""Miscellaneous Area Sources;Agriculture Production - Crops;Fertilizer Application;Other Straight Nitrogen""",42894.617230917,,,,,0.0497175282,0.0383295921,0.0031524321,0.0007951352,0.0015743223,0.0012725998,0.0045934468,0.0069921514,0.0324441239
2805021300,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle - scrape dairy;Land application of manure""",58193161.0515604,,,,,423.702693939,299.5563387307,56.9236172856,1.413547958,16.8849949762,8.3541543245,40.5700409259,55.7374085676,287.5211677224
2310011020,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Oil Production;Storage Tanks: Crude Oil""",,0,0,0,324326558.313672,0,0,0,0,0,0,0,0,0
2310023310,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Pneumatic Pumps""",,0,0,0,6070152.82373539,0,0,0,0,0,0,0,0,0
2310021500,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well completion - flaring and venting""",,474915.339114,10869.89067,1162.5575775,295766.803995,0,0,0,0,0,0,0,0,0
2310021310,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Pneumatic Pumps""",,0,0,0,4636300.33010355,0,0,0,0,0,0,0,0,0
2310002401,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil And Gas Production;Pneumatic Pumps: Gas And Oil Wells""",,0,0,0,84.9717551805,0,0,0,0,0,0,0,0,0
2310023509,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Fugitives""",,0,0,0,11537708.0494314,0,0,0,0,0,0,0,0,0
2310020700,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well fugitives""",,,,,7445594.788785,0,0,0,0,0,0,0,0,0
2310021411,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Dehydrators - Flaring""",,371.94585,0,0,0,0,0,0,0,0,0,0,0,0
2310021300,"""Industrial Processes;Oil and Gas Production: SIC 13;Natural Gas; Gas well pneumatic devices""",,0,0,0,175378725.542442,0,0,0,0,0,0,0,0,0
2310021101,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 2Cycle Lean Burn Compressor Engines < 50 HP""",,113418.122936978,5260.5579448463,84.2185534206,23451.1608724906,0,0,0,0,0,0,0,0,0
2310021301,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Natural Gas Fired 4Cycle Rich Burn Compressor Engines <50 HP""",,1076198.54584004,3721.5528000776,231.3975368521,5152.6317835962,0,0,0,0,0,0,0,0,0
2805018000,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Dairy cattle composite;Not Elsewhere Classified""",125457635.772808,,,,,784.6681140999,557.6817150581,102.6204413358,3.2049045761,28.8906557836,15.4788463153,76.7915516213,106.2967879949,525.260993802
2310012522,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Flanges: Oil/Water""",,0,0,0,0.0081641225,0,0,0,0,0,0,0,0,0
2310000220,"""Industrial Processes;Oil and Gas Production: SIC 13; Drill rigs""",,68659997.0680417,1785942.39676633,517913.306170707,3871331.99108846,0,0,0,0,0,0,0,0,0
2310023602,"""Industrial Processes;Oil and Gas Exploration and Production;Coal Bed Methane Natural Gas;Venting - Recompletions""",,0,0,0,4038293.88175148,0,0,0,0,0,0,0,0,0
2310021602,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Venting - Recompletions""",,,,,7373307.6571485,0,0,0,0,0,0,0,0,0
2310012521,"""Industrial Processes;Oil and Gas Exploration and Production;Off-Shore Oil Production;Fugitives; Connectors: Oil/Water Streams""",,0,0,0,0.0204111508,0,0,0,0,0,0,0,0,0
2310021604,"""Industrial Processes;Oil and Gas Exploration and Production;On-Shore Gas Production;Gas Well Venting - Compressor Startups""",,,,,979660.00965,0,0,0,0,0,0,0,0,0
2805007100,"""Miscellaneous Area Sources;Agriculture Production - Livestock;Poultry production - layers with dry manure management systems;Confinement""",114185302.161577,,,,,1005.6801972725,697.0839677054,149.4808477944,2.9614054286,37.5607333393,19.5473035193,99.0459398285,140.1275423048,666.557905686
